source_row_index,id,name_string_key,description_string_key,shop_sell_price,experience_value,weight_kg,item_grade,icon_file_name,icon_object_path,category_tag,max_stack_category_key,resolved_stack_category_key,resolved_max_stack_quantity,blueprint_recipe_id,equipment_slot_tag,defense_value,weapon_type_tag,attachment_slot_tag,ammo_type_tag,projectile_hit_effect_id,projectile_damage_multiplier,projectile_damage_bonus,magazine_capacity,magazine_capacity_bonus,reload_seconds,inventory_slot_capacity,carry_strength_bonus,headphone_hearing_range,headphone_sensitivity,headphone_min_strength,use_health_delta,use_food_delta,use_hydration_delta,use_seconds
0,1001,item.pistol,item.pistol.desc,120,36,,uncommon,T_UIIcon_Pistol.uasset,/Game/UI/Icons/T_UIIcon_Pistol.T_UIIcon_Pistol,item.category.weapon.gun,,stack.default.weapon,1,,equipment.slot.gun,,weapon.type.pistol,,,,,,12,,1.6,,,,,,,,,
1,1002,item.rifle,item.rifle.desc,360,90,,rare,T_UIIcon_Rifle.uasset,/Game/UI/Icons/T_UIIcon_Rifle.T_UIIcon_Rifle,item.category.weapon.gun,,stack.default.weapon,1,,equipment.slot.gun,,weapon.type.rifle,,,,,,30,,2.2,,,,,,,,,
2,1003,item.shotgun,item.shotgun.desc,300,78,,rare,T_UIIcon_Shotgun.uasset,/Game/UI/Icons/T_UIIcon_Shotgun.T_UIIcon_Shotgun,item.category.weapon.gun,,stack.default.weapon,1,,equipment.slot.gun,,weapon.type.shotgun,,,,,,6,,2.6,,,,,,,,,
3,1006,item.smg,item.smg.desc,300,82,,rare,T_UIIcon_SMG.uasset,/Game/UI/Icons/T_UIIcon_SMG.T_UIIcon_SMG,item.category.weapon.gun,,stack.default.weapon,1,,equipment.slot.gun,,weapon.type.smg,,,,,,32,,1.9,,,,,,,,,
4,1007,item.advanced_rifle,item.advanced_rifle.desc,620,140,,epic,T_UIIcon_AdvancedRifle.uasset,/Game/UI/Icons/T_UIIcon_AdvancedRifle.T_UIIcon_AdvancedRifle,item.category.weapon.gun,,stack.default.weapon,1,,equipment.slot.gun,,weapon.type.rifle,,,,,,36,,2,,,,,,,,,
5,1008,item.advanced_smg,item.advanced_smg.desc,560,132,,epic,T_UIIcon_AdvancedSMG.uasset,/Game/UI/Icons/T_UIIcon_AdvancedSMG.T_UIIcon_AdvancedSMG,item.category.weapon.gun,,stack.default.weapon,1,,equipment.slot.gun,,weapon.type.smg,,,,,,40,,1.7,,,,,,,,,
6,1004,item.combat_knife,item.combat_knife.desc,65,24,,common,T_UIIcon_CombatKnife.uasset,/Game/UI/Icons/T_UIIcon_CombatKnife.T_UIIcon_CombatKnife,item.category.weapon.melee,,stack.default.weapon,1,,equipment.slot.melee,,,,,,,,,,,,,,,,,,,
7,1005,item.baseball_bat,item.baseball_bat.desc,90,30,,uncommon,T_UIIcon_BaseballBat.uasset,/Game/UI/Icons/T_UIIcon_BaseballBat.T_UIIcon_BaseballBat,item.category.weapon.melee,,stack.default.weapon,1,,equipment.slot.melee,,,,,,,,,,,,,,,,,,,
8,2001,item.pistol_ammo,item.pistol_ammo.desc,12,2,,common,T_UIIcon_PistolAmmo.uasset,/Game/UI/Icons/T_UIIcon_PistolAmmo.T_UIIcon_PistolAmmo,item.category.ammo,,stack.default.ammo,120,,,,,,ammo.type.pistol,hit.red_burst,10000,1,,,,,,,,,,,,
9,2002,item.rifle_ammo,item.rifle_ammo.desc,18,3,,common,T_UIIcon_RifleAmmo.uasset,/Game/UI/Icons/T_UIIcon_RifleAmmo.T_UIIcon_RifleAmmo,item.category.ammo,,stack.default.ammo,120,,,,,,ammo.type.rifle,hit.red_burst,10000,2,,,,,,,,,,,,
10,2003,item.shotgun_ammo,item.shotgun_ammo.desc,16,3,,common,T_UIIcon_ShotgunAmmo.uasset,/Game/UI/Icons/T_UIIcon_ShotgunAmmo.T_UIIcon_ShotgunAmmo,item.category.ammo,,stack.default.ammo,120,,,,,,ammo.type.shotgun,hit.red_burst,10000,1,,,,,,,,,,,,
11,2011,item.rusty_pistol_ammo,item.rusty_pistol_ammo.desc,7,1,,common,T_UIIcon_RustyPistolAmmo.uasset,/Game/UI/Icons/T_UIIcon_RustyPistolAmmo.T_UIIcon_RustyPistolAmmo,item.category.ammo,,stack.default.ammo,120,,,,,,ammo.type.pistol,hit.red_burst,8500,0,,,,,,,,,,,,
12,2012,item.pistol_ap_ammo,item.pistol_ap_ammo.desc,24,5,,rare,T_UIIcon_PistolAPAmmo.uasset,/Game/UI/Icons/T_UIIcon_PistolAPAmmo.T_UIIcon_PistolAPAmmo,item.category.ammo,,stack.default.ammo,120,,,,,,ammo.type.pistol,hit.red_burst,11000,3,,,,,,,,,,,,
13,2021,item.rusty_rifle_ammo,item.rusty_rifle_ammo.desc,10,2,,common,T_UIIcon_RustyRifleAmmo.uasset,/Game/UI/Icons/T_UIIcon_RustyRifleAmmo.T_UIIcon_RustyRifleAmmo,item.category.ammo,,stack.default.ammo,120,,,,,,ammo.type.rifle,hit.red_burst,8500,1,,,,,,,,,,,,
14,2022,item.rifle_ap_ammo,item.rifle_ap_ammo.desc,36,7,,rare,T_UIIcon_RifleAPAmmo.uasset,/Game/UI/Icons/T_UIIcon_RifleAPAmmo.T_UIIcon_RifleAPAmmo,item.category.ammo,,stack.default.ammo,120,,,,,,ammo.type.rifle,hit.red_burst,11500,5,,,,,,,,,,,,
