source_row_index,contents_id,memo_ko
0,8001,"초반 생존 보급: 통조림, 생수, 붕대 중심"
1,8002,"권총 전투 보급: 권총탄, 붕대, 진통제, 간식, 귀중품 상자"
2,8003,"중급 종합 보급: 소총탄/산탄, 모딩 파츠, 근접무기, 의료품, 물자 장비"
3,8004,권총 탄약 상자: 일반 권총탄만 대량 지급
4,8005,소총 탄약 상자: 일반 소총탄만 대량 지급
5,8006,벌목기 전용 잔해: 목재 1~2개
6,8007,"개발상자: 주요 장비와 방수 테이프를 포함한 테스트용 풀세트"
7,8008,"권총 적 사망 전리품: 권총, 일반/녹슨 권총탄, 붕대"
8,8009,"소총 적 사망 전리품: 소총, 일반/녹슨 소총탄, 확률 모딩 파츠, 에너지바"
9,8010,"강화 소총 적 사망 전리품: 강화 소총, 철갑/일반 소총탄, 확률 모딩 파츠, 응급키트"
10,8011,"기관단총 적 사망 전리품: SMG, 일반/녹슨 권총탄 공유, 진통제"
11,8012,"북쪽 상자 확정 획득: 교체용 밸브 손잡이"
