contents_id,slot_index,item_id,quantity,quantity_min,quantity_max,drop_chance
8001,0,3001,2,2,2,1
8001,1,3002,1,1,1,1
8001,2,4001,3,3,3,1
8002,0,2001,36,36,36,1
8002,1,4001,2,2,2,1
8002,2,4003,1,1,1,1
8002,3,3003,2,2,2,1
8002,4,6001,1,1,1,1
8003,0,2002,60,60,60,1
8003,1,2003,12,12,12,1
8003,2,2004,1,1,1,1
8003,3,2005,1,1,1,1
8003,4,2006,1,1,1,1
8003,5,1004,1,1,1,1
8003,6,4002,1,1,1,1
8003,7,4004,1,1,1,1
8003,8,3002,2,2,2,1
8003,9,3003,3,3,3,1
8003,10,5002,1,1,1,1
8003,11,5006,1,1,1,1
8003,12,5008,1,1,1,1
8004,0,2001,60,60,60,1
8005,0,2002,90,90,90,1
8006,0,6002,,1,2,1
8007,0,1001,1,1,1,1
8007,1,2001,100,100,100,1
8007,2,1002,1,1,1,1
8007,3,2002,100,100,100,1
8007,4,1003,1,1,1,1
8007,5,2003,100,100,100,1
8007,6,1006,1,1,1,1
8007,7,2001,100,100,100,1
8007,8,1007,1,1,1,1
8007,9,2022,60,60,60,1
8007,10,1008,1,1,1,1
8007,11,2012,60,60,60,1
8007,12,1005,1,1,1,1
8007,13,2006,1,1,1,1
8007,14,7001,1,1,1,1
8007,15,7002,20,20,20,1
8007,16,7003,3,3,3,1
8008,0,1001,1,1,1,1
8008,1,2001,24,24,24,1
8008,2,2011,18,18,18,1
8008,3,4001,1,1,1,1
8009,0,1002,1,1,1,1
8009,1,2002,45,45,45,1
8009,2,2021,30,30,30,1
8009,3,2004,1,1,1,0.65
8009,4,2006,1,1,1,0.45
8009,5,3003,1,1,1,1
8010,0,1007,1,1,1,1
8010,1,2022,36,36,36,1
8010,2,2002,36,36,36,1
8010,3,2004,1,1,1,0.75
8010,4,2005,1,1,1,0.55
8010,5,2006,1,1,1,0.55
8010,6,4002,1,1,1,1
8011,0,1006,1,1,1,1
8011,1,2001,64,64,64,1
8011,2,2011,32,32,32,1
8011,3,4003,1,1,1,1
