string_key,ko,en,ja
shop.vending_machine,자판기 상점,Vending Machine,自動販売機ショップ
item.pistol,권총,Pistol,ピストル
item.rifle,소총,Rifle,ライフル
item.shotgun,산탄총,Shotgun,ショットガン
item.smg,기관단총,SMG,サブマシンガン
item.advanced_rifle,강화형 돌격소총,Advanced AR,強化型アサルトライフル
item.advanced_smg,강화형 기관단총,Advanced SMG,強化型サブマシンガン
item.combat_knife,전투 나이프,Combat Knife,コンバットナイフ
item.baseball_bat,야구방망이,Baseball Bat,野球バット
item.pistol_ammo,권총 탄약,Pistol Ammo,ピストル弾薬
item.rifle_ammo,소총 탄약,Rifle Ammo,ライフル弾薬
item.shotgun_ammo,산탄총 탄약,Shotgun Ammo,ショットガン弾薬
item.rusty_pistol_ammo,녹슨 권총탄,Rusty Pistol Ammo,錆びたピストル弾
item.pistol_ap_ammo,권총 철갑탄,Pistol AP Ammo,ピストル徹甲弾
item.rusty_rifle_ammo,녹슨 소총탄,Rusty Rifle Ammo,錆びたライフル弾
item.rifle_ap_ammo,소총 철갑탄,Rifle AP Ammo,ライフル徹甲弾
item.rusty_shotgun_ammo,녹슨 산탄,Rusty Shotgun Ammo,錆びた散弾
item.shotgun_ap_ammo,산탄총 철갑탄,Shotgun AP Ammo,ショットガン徹甲弾
item.rusty_smg_ammo,녹슨 기관단총탄,Rusty SMG Ammo,錆びたSMG弾
item.smg_ammo,기관단총 탄약,SMG Ammo,SMG弾薬
item.smg_ap_ammo,기관단총 철갑탄,SMG AP Ammo,SMG徹甲弾
item.rifle_extended_magazine,소총 대용량 탄창,Rifle Extended Magazine,ライフル拡張マガジン
item.red_dot_optic,레드닷 광학장비,Red Dot Optic,レッドドットサイト
item.laser_sight,레이저 사이트,Laser Sight,レーザーサイト
item.canned_food,통조림,Canned Food,缶詰
item.water_bottle,생수,Bottled Water,飲料水
item.large_water_bottle,큰생수,Large Bottled Water,大きな飲料水
item.king_water_bottle,왕생수,Royal Bottled Water,王の飲料水
item.energy_bar,에너지바,Energy Bar,エナジーバー
item.canned_tuna,참치 통조림,Canned Tuna,ツナ缶
item.bandage,붕대,Bandage,包帯
item.first_aid_kit,응급키트,First Aid Kit,救急キット
item.painkillers,진통제,Painkillers,鎮痛剤
item.antibiotics,항생제,Antibiotics,抗生物質
item.body_armor,방탄조끼,Body Armor,ボディアーマー
item.ballistic_helmet,방탄헬멧,Ballistic Helmet,防弾ヘルメット
item.tactical_sunglasses,전술 선글라스,Tactical Sunglasses,タクティカルサングラス
item.tactical_earphones_tier1,이어폰 I,Tactical Earphones I,イヤホン I
item.tactical_earphones_tier2,이어폰 II,Tactical Earphones II,イヤホン II
item.tactical_jacket,전술 재킷,Tactical Jacket,タクティカルジャケット
item.backpack,배낭,Backpack,バックパック
item.valuables_crate,귀중품 상자,Valuables Crate,貴重品箱
container.wooden_crate,나무 상자,Wooden Crate,木箱
container.metal_case,금속 상자,Metal Case,金属ケース
container.supply_cache,보급 상자,Supply Cache,補給箱
container.cardboard_box,종이 상자,Cardboard Box,段ボール箱
container.pistol_ammo_box,권총 탄약 상자,Pistol Ammo Box,ピストル弾薬箱
container.rifle_ammo_box,소총 탄약 상자,Rifle Ammo Box,ライフル弾薬箱
item.pistol.desc,가까운 거리 방어에 쓰기 좋은 기본 권총이다,A compact sidearm for close defense,近距離防衛に使いやすい基本的な拳銃
item.rifle.desc,중거리 교전에 적합한 안정적인 소총이다,A reliable rifle suited for mid range fights,中距離戦に適した安定したライフル
item.shotgun.desc,좁은 공간에서 강한 화력을 내는 산탄총이다,A shotgun with strong close quarters impact,狭い場所で強い火力を出すショットガン
item.smg.desc,짧은 점사와 빠른 재장전에 강한 기관단총이다,A fast-reloading SMG built for short bursts,短いバーストと素早いリロードに強いサブマシンガン
